0	0	48	1
1	0	17	1
2	0	3	1
3	0	11	1
4	0	49	1
5	1	11	1
6	2	51	1
7	2	20	1
8	3	25	1
9	3	38	1
10	3	48	1
11	4	7	1
12	5	26	1
13	5	6	1
14	5	7	1
15	6	9	1
16	6	11	1
17	6	7	1
18	7	32	1
19	7	8	1
20	7	9	1
21	7	13	1
22	7	48	1
23	7	19	1
24	7	20	1
25	7	21	1
26	7	23	1
27	7	27	1
28	9	12	1
29	9	36	1
30	9	37	1
31	10	49	1
32	11	36	1
33	14	48	1
34	15	48	1
35	15	44	1
36	15	45	1
37	16	44	1
38	16	46	1
39	16	47	1
40	18	36	1
41	20	30	1
42	22	48	1
43	24	49	1
44	28	51	1
45	29	48	1
46	31	51	1
47	33	48	1
48	34	51	1
49	35	48	1
50	39	48	1
51	40	48	1
52	41	48	1
53	42	48	1
54	43	48	1
55	45	48	1
56	45	51	1
57	46	47	1
58	47	48	1
59	47	49	1
60	48	49	1
61	48	50	1
62	48	51	1
