0	0	1	1
1	0	3	1
2	1	53	1
3	1	6	1
4	1	15	1
5	2	56	1
6	2	49	1
7	3	52	1
8	3	53	1
9	4	51	1
10	4	5	1
11	5	10	1
12	6	7	1
13	7	53	1
14	8	51	1
15	9	51	1
16	10	51	1
17	10	11	1
18	10	36	1
19	11	43	1
20	12	52	1
21	13	52	1
22	14	24	1
23	14	50	1
24	14	27	1
25	16	50	1
26	16	23	1
27	17	25	1
28	17	50	1
29	17	31	1
30	18	19	1
31	18	38	1
32	19	51	1
33	19	20	1
34	20	46	1
35	21	22	1
36	21	23	1
37	22	51	1
38	23	24	1
39	25	27	1
40	26	50	1
41	27	44	1
42	28	51	1
43	28	36	1
44	29	51	1
45	30	48	1
46	30	31	1
47	32	33	1
48	32	50	1
49	33	50	1
50	33	37	1
51	34	35	1
52	34	52	1
53	35	50	1
54	36	51	1
55	37	52	1
56	38	39	1
57	39	44	1
58	40	41	1
59	40	43	1
60	41	53	1
61	42	43	1
62	42	53	1
63	43	51	1
64	44	50	1
65	44	45	1
66	45	46	1
67	46	51	1
68	47	51	1
69	47	53	1
70	48	56	1
71	48	49	1
72	48	52	1
73	48	57	1
74	50	51	1
75	50	52	1
76	50	53	1
77	50	55	1
78	51	52	1
79	51	53	1
80	52	53	1
81	52	54	1
82	52	55	1
83	52	56	1
84	53	54	1
85	55	56	1
86	56	57	1
