0	0	33	1
1	1	4	1
2	2	33	1
3	3	35	1
4	4	10	1
5	4	53	1
6	4	7	1
7	5	53	1
8	6	43	1
9	6	53	1
10	8	22	1
11	9	56	1
12	9	56	1
13	10	11	1
14	10	42	1
15	10	43	1
16	10	44	1
17	10	21	1
18	10	53	1
19	10	53	1
20	12	20	1
21	13	28	1
22	14	32	1
23	14	33	1
24	14	33	1
25	14	33	1
26	14	44	1
27	14	47	1
28	14	53	1
29	14	55	1
30	14	55	1
31	14	26	1
32	14	28	1
33	15	33	1
34	15	51	1
35	15	35	1
36	16	32	1
37	17	32	1
38	17	54	1
39	18	41	1
40	18	41	1
41	18	53	1
42	18	47	1
43	18	21	1
44	18	39	1
45	18	39	1
46	19	21	1
47	20	21	1
48	21	22	1
49	21	23	1
50	24	35	1
51	25	35	1
52	27	53	1
53	28	57	1
54	28	29	1
55	30	32	1
56	30	32	1
57	30	32	1
58	30	31	1
59	30	31	1
60	32	33	1
61	32	34	1
62	33	35	1
63	33	50	1
64	33	54	1
65	34	35	1
66	35	36	1
67	35	37	1
68	35	38	1
69	35	49	1
70	35	53	1
71	35	54	1
72	35	56	1
73	35	56	1
74	36	54	1
75	37	57	1
76	38	57	1
77	38	52	1
78	40	47	1
79	42	53	1
80	44	58	1
81	45	47	1
82	46	47	1
83	47	48	1
84	53	57	1
