0	0	102	1
1	1	102	1
2	2	102	1
3	3	102	1
4	4	102	1
5	5	102	1
6	6	102	1
7	7	102	1
8	8	102	1
9	9	102	1
10	10	59	1
11	10	13	1
12	10	46	1
13	11	66	1
14	12	13	1
15	13	39	1
16	13	40	1
17	13	41	1
18	13	43	1
19	13	45	1
20	13	46	1
21	13	18	1
22	13	19	1
23	13	42	1
24	14	66	1
25	15	66	1
26	16	66	1
27	17	66	1
28	20	43	1
29	21	43	1
30	22	43	1
31	23	43	1
32	24	43	1
33	25	43	1
34	26	43	1
35	27	126	1
36	28	126	1
37	29	126	1
38	30	126	1
39	31	126	1
40	32	126	1
41	33	126	1
42	34	126	1
43	35	126	1
44	36	126	1
45	37	43	1
46	38	43	1
47	43	44	1
48	43	65	1
49	43	68	1
50	43	89	1
51	43	90	1
52	43	91	1
53	43	92	1
54	43	93	1
55	43	94	1
56	43	95	1
57	43	96	1
58	43	97	1
59	43	98	1
60	43	99	1
61	43	100	1
62	43	113	1
63	43	114	1
64	43	115	1
65	43	116	1
66	43	117	1
67	43	118	1
68	46	60	1
69	46	66	1
70	47	50	1
71	48	50	1
72	49	50	1
73	50	64	1
74	50	72	1
75	50	55	1
76	50	56	1
77	50	57	1
78	50	58	1
79	50	59	1
80	50	61	1
81	50	62	1
82	50	63	1
83	51	72	1
84	52	72	1
85	53	72	1
86	54	72	1
87	59	60	1
88	60	102	1
89	66	67	1
90	69	72	1
91	70	72	1
92	71	72	1
93	72	73	1
94	72	74	1
95	72	75	1
96	72	76	1
97	72	77	1
98	72	78	1
99	72	79	1
100	72	80	1
101	72	81	1
102	72	82	1
103	72	83	1
104	72	84	1
105	72	85	1
106	72	86	1
107	72	87	1
108	72	88	1
109	72	126	1
110	101	102	1
111	102	126	1
112	103	126	1
113	104	126	1
114	105	126	1
115	106	126	1
116	107	126	1
117	108	126	1
118	109	126	1
119	110	126	1
120	111	126	1
121	112	126	1
122	119	120	1
123	119	121	1
124	119	122	1
125	119	123	1
126	119	124	1
127	119	125	1
128	119	126	1
